2025-03-25 13:36:59,074 INFO, inst,timestamp,timestamp, position,pnl
2025-03-25 13:36:59,491 INFO, inst,timestamp,timestamp, position,pnl
2025-03-25 13:36:59,572 INFO, Long condition met
2025-03-25 13:36:59,579 INFO, Target hit on LONG side
2025-03-25 13:36:59,773 INFO, Long condition met
2025-03-25 13:36:59,779 INFO, Target hit on LONG side
2025-03-25 13:37:00,147 INFO, Long condition met
2025-03-25 13:37:00,154 INFO, Target hit on LONG side
2025-03-25 13:37:00,299 INFO, Short condition met
2025-03-25 13:37:00,306 INFO, Target hit on SHORT side
2025-03-25 13:37:01,417 INFO, Long condition met
2025-03-25 13:37:01,424 INFO, Target hit on LONG side
